,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
192,Lamar ,Slnd,18-11,0.4107,99.3,191,102.8,183,75.1,3,-0.035,231,0.3528,254,98.2,250,103.5,244,0.5234,187
193,Appalachian St. ,SC,18-12,0.4101,99.3,190,102.9,187,67.8,136,-0.002,147,0.3431,259,97.1,280,102.7,219,0.491,214
194,Montana,BSky,18-13,0.4099,98.1,212,101.7,170,68.9,94,0.04,56,0.3873,234,99.1,235,103.1,231,0.6926,55
195,Marshall ,MAC,22-Jun,0.4085,102.3,142,106.1,239,66.1,216,-0.006,152,0.673,86,105.7,74,99.2,98,0.6543,84
196,Fairleigh Dickinson,NEC,20-13,0.4075,99.2,194,102.9,185,69.5,72,-0.016,177,0.2861,288,98,257,106.1,315,0.6063,118
197,Florida International ,SB,13-17,0.401,97.1,222,101,161,67.9,127,0.027,82,0.5414,150,102.6,142,101.1,162,0.5443,171
198,Central Florida,ASun,24-9,0.3999,103.3,133,107.5,258,61.1,318,0.051,42,0.2567,299,97.2,278,106.6,325,0.5402,178
199,American ,Pat,16-12,0.3963,98.8,201,103,189,65.4,242,0.031,74,0.3965,227,98.5,246,102.1,201,0.5397,179
200,Austin Peay ,OVC,13-19,0.3835,96.8,227,101.4,169,65.6,233,-0.044,252,0.4678,185,102.4,153,103.6,246,0.6929,54
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
201,Furman ,SC,16-13,0.383,99.3,192,104,207,64.3,282,-0.024,198,0.4009,225,99.1,233,102.6,217,0.6124,112
202,Valparaiso ,MCon,15-16,0.378,102,149,107.1,247,66.9,177,0.056,34,0.4973,173,102.5,146,102.6,218,0.6947,53
203,La Salle ,A10,19-Oct,0.3737,98.1,213,103.2,195,64.8,261,0.015,107,0.6024,119,103.2,131,99.5,104,0.5812,138
204,North Texas ,SB,14-14,0.3693,98.8,203,104,209,72.5,19,0.054,37,0.4761,177,100.9,186,101.7,185,0.4586,237
205,Yale ,Ivy,16-Nov,0.3615,96.8,228,102.3,175,67.8,134,-0.036,233,0.4407,199,100.1,209,102.2,204,0.5595,157
206,Delaware ,CAA,20-Nov,0.3541,93.9,261,99.5,136,69.4,82,-0.074,298,0.4456,198,100.3,201,102.2,205,0.4795,220
207,South Carolina St. ,MEAC,18-12,0.3522,95,245,100.8,155,66.3,210,-0.074,299,0.1666,320,92.5,317,106.4,322,0.3138,300
208,Texas San Antonio ,Slnd,15-13,0.3512,98.2,211,104.2,214,73.8,9,-0.021,192,0.381,238,99.2,228,103.5,243,0.681,63
209,UC Santa Barbara ,BW,18-Nov,0.3491,95.3,242,101.2,166,61.4,315,-0.02,191,0.5315,155,102.3,156,101.2,164,0.6132,111
210,Western Illinois ,MCon,17-Nov,0.3479,97,223,103.2,196,65.5,240,-0.066,287,0.4754,178,103.3,127,104.2,265,0.7013,48
211,Portland St. ,BSky,19-9,0.3465,97.3,218,103.5,201,69.8,66,0.06,31,0.2196,310,95.3,310,106.4,320,0.2437,321
212,Samford ,OVC,15-13,0.3461,106.4,88,113.2,318,57.3,328,-0.032,219,0.3428,260,99.3,226,105.1,284,0.4842,217
213,Tennessee St. ,OVC,14-17,0.342,101.6,155,108.3,270,70.6,47,0.005,128,0.5306,156,103.2,128,102.1,203,0.8475,7
214,Lehigh ,Pat,14-15,0.3382,93.2,269,99.5,135,65.2,246,-0.061,279,0.3014,280,96.3,296,103.6,245,0.2811,310
215,Cleveland St. ,Horz,17-Sep,0.325,96.8,226,104,206,69.5,74,-0.104,321,0.5396,151,102.9,134,101.5,176,0.6434,90
216,Monmouth ,NEC,16-13,0.3235,95.7,237,102.9,184,63,302,0.03,78,0.2918,283,97.9,258,105.8,304,0.6442,88
217,Southern Mississippi ,CUSA,17-Nov,0.3227,100.7,167,108.2,267,65.7,230,-0.017,182,0.5875,126,102.2,158,99.1,95,0.2652,314
218,South Alabama ,SB,18-Oct,0.3182,93.6,265,100.9,157,64.5,271,-0.038,240,0.5532,146,102.4,152,100.6,147,0.6098,115
219,Gardner Webb ,ASun,18-12,0.3147,95.3,241,102.8,182,68.4,114,-0.011,164,0.265,297,97.6,268,106.6,326,0.7408,29
220,NC Greensboro ,SC,18-12,0.3116,95.4,238,103.1,193,70.8,46,0.131,1,0.4358,202,99.4,223,101.7,183,0.7013,49
221,Long Beach St. ,BW,20-Oct,0.3099,92.6,280,100.1,145,65.2,247,-0.001,142,0.5213,159,101.9,161,101.1,163,0.5705,149
222,Belmont ,ASun,14-16,0.3087,96.4,230,104.3,216,66.6,199,-0.064,284,0.2777,292,97.9,260,106.4,319,0.625,102
223,Harvard ,Ivy,15-Dec,0.3083,94.7,252,102.5,180,70.5,49,0.006,121,0.3856,237,97.6,266,101.6,179,0.4355,255
224,Delaware St.,MEAC,19-14,0.3056,99.5,184,107.8,261,59.9,325,0.069,24,0.2881,286,95.4,307,103.2,236,0.7994,15
225,Duquesne ,A10,22-Aug,0.3014,100.5,171,109.1,282,67.5,152,-0.017,178,0.584,130,102.7,138,99.8,116,0.5681,152
226,Rhode Island ,A10,22-Jun,0.2966,94.1,255,102.4,178,63.2,299,-0.036,234,0.5623,138,101.6,170,99.4,101,0.5725,146
227,Tulane ,CUSA,18-Oct,0.2941,97.6,217,106.3,241,69.2,88,0.009,118,0.5462,149,101.4,175,99.8,119,0.1891,327
228,Marist ,MAAC,17-Nov,0.2941,99.2,196,108,266,66.7,188,-0.031,218,0.3868,235,100,210,104.1,263,0.4524,243
229,Brown ,Ivy,16-Dec,0.289,95.9,235,104.7,224,68.8,99,-0.033,223,0.3476,257,97,281,102.5,215,0.35,291
230,Cornell ,Ivy,13-14,0.2874,98.8,202,107.9,263,63.6,296,0.025,89,0.362,247,97.5,270,102.4,210,0.3809,278
231,Birmingham Southern ,BSth,16-14,0.2852,99.2,193,108.5,274,61.1,319,-0.027,205,0.245,306,95.4,306,105.3,289,0.3555,288
232,Maine ,AE,14-15,0.2834,91.4,289,100.1,144,68.1,120,0.039,58,0.3878,233,97.9,259,101.9,192,0.4132,263
233,High Point ,BSth,13-18,0.279,95.2,243,104.5,219,73.3,12,-0.131,327,0.2748,295,97,285,105.5,299,0.5122,196
234,Wofford ,SC,14-14,0.2781,98.6,204,108.3,268,67.6,147,-0.002,145,0.4156,215,98.8,240,101.8,188,0.6676,75
235,Montana St. ,BSky,14-14,0.2733,92.9,274,102.2,174,69.2,85,-0.009,160,0.3034,278,96.7,291,103.9,256,0.4261,258
236,Northern Arizona ,BSky,17-Nov,0.2721,99.6,183,109.6,289,72.8,15,-0.14,329,0.3208,270,96.5,294,103,227,0.4658,231
237,Eastern Illinois ,OVC,16-Dec,0.2713,99.2,195,109.2,284,67.3,164,0.044,51,0.4156,216,100.6,193,103.6,248,0.5843,136
238,McNeese St. ,Slnd,13-15,0.2703,95.4,239,105.1,232,74.7,4,-0.025,200,0.3794,240,98.9,239,103.2,234,0.699,51
239,Chicago St. ,MCon,19-Sep,0.2675,95,246,104.8,226,66.5,201,0.005,125,0.5062,167,103.5,123,103.3,238,0.7533,25
240,Utah Valley St. ,ind,16-12,0.2662,98.3,209,108.5,275,63.2,298,0.033,70,0.2462,305,95.9,302,105.7,302,0.2462,320
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
241,Georgia St. ,ASun,14-15,0.2656,99.1,198,109.5,287,66.3,207,0.023,94,0.3565,251,99.1,232,104.3,269,0.8669,5
242,Weber St. ,BSky,14-16,0.2631,99.1,200,109.5,288,63.9,289,-0.001,139,0.3201,271,97,283,103.6,247,0.4451,249
243,Idaho ,BW,22-Aug,0.2622,93.9,260,103.8,205,64.5,272,-0.061,276,0.5021,171,101,183,100.9,154,0.4983,209
244,Central Connecticut ,NEC,16-Dec,0.2579,99.5,185,110.3,295,64.7,266,-0.052,265,0.2773,293,98.2,252,106.7,327,0.5235,186
245,Wagner ,NEC,13-17,0.2546,92.2,282,102.4,177,63.7,293,0.009,117,0.3066,277,98.1,254,105.3,291,0.5945,128
246,Mercer ,ASun,16-12,0.2527,99.5,187,110.6,299,72.2,23,-0.001,140,0.2107,312,95.6,305,107.2,328,0.2788,311
247,Canisius ,MAAC,18-Nov,0.2515,97.8,215,108.8,281,67.9,129,0.022,97,0.3597,248,99.2,227,104.3,270,0.3592,287
248,UC Davis ,ind,17-Nov,0.2514,99.5,186,110.6,301,65.9,219,0.004,132,0.4126,218,99.3,225,102.4,211,0.4126,264
249,Hampton ,MEAC,17-13,0.2504,91.1,293,101.3,168,67,175,0.021,98,0.1745,318,92.5,316,105.9,312,0.5521,162
250,Colgate ,Pat,16-Dec,0.2501,97,224,108,264,65.4,241,0.01,114,0.3784,241,97.4,273,101.7,184,0.4948,211
251,Florida Atlantic ,ASun,17-Oct,0.2413,97.1,219,108.6,277,74.1,7,-0.086,310,0.3012,281,98,256,105.5,300,0.7131,39
252,Central Michigan ,MAC,18-Oct,0.2396,93.7,264,104.9,230,69.7,68,0.037,60,0.6276,107,105,87,100.3,136,0.5243,184
253,Stony Brook ,AE,17-Dec,0.2383,93.1,271,104.3,215,65.9,220,0.026,86,0.359,249,97,284,102,198,0.3869,275
254,Columbia ,Ivy,15-Dec,0.2373,93.4,267,104.6,222,67.4,155,-0.025,202,0.2767,294,95.7,303,104.1,259,0.2056,326
255,East Tennessee St. ,SC,19-Oct,0.2351,99.9,181,112.1,310,73.5,11,-0.069,294,0.4238,209,98.6,244,101.2,167,0.6666,76
256,St. Francis NY ,NEC,13-15,0.2346,94.4,254,106,237,71,40,-0.043,246,0.2481,303,96.1,298,105.8,305,0.3795,280
257,Eastern Washington ,BSky,20-Aug,0.2323,90,300,101.1,162,64.7,265,-0.104,319,0.463,188,101.8,167,103.1,232,0.741,28
258,San Jose St. ,WAC,23-Jun,0.2272,93.6,266,105.5,234,65.1,249,0.023,95,0.6221,111,104,112,99.6,110,0.5424,173
259,UC Riverside ,BW,19-Sep,0.2249,90.9,296,102.6,181,65.6,236,-0.001,138,0.4722,182,101.1,181,102.1,202,0.3901,274
260,New Mexico St. ,SB,24-Jun,0.2228,94.9,247,107.2,252,69.2,84,-0.051,263,0.567,135,103,132,100.6,149,0.5855,135
261,Troy ,ASun,18-Dec,0.2187,100.6,168,113.9,322,70.2,53,-0.018,184,0.3187,272,97.6,264,104.3,267,0.7263,35
262,Coppin St. ,MEAC,13-15,0.218,89.4,304,101.2,164,65.6,232,0.032,73,0.3373,263,96.7,290,102.6,216,0.9484,1
263,Robert Morris ,NEC,14-15,0.2154,99.6,182,113,315,66.4,205,0.026,88,0.2929,282,97.3,276,105,282,0.639,92
264,St. Francis PA ,NEC,15-13,0.2136,101.7,151,115.5,327,64.6,267,0.066,26,0.2785,291,97,282,105.4,297,0.5992,123
265,Southern Utah ,MCon,13-15,0.2077,98,214,111.6,305,66.8,181,0.059,32,0.3912,229,100.2,205,104.1,262,0.3862,276
266,New Hampshire ,AE,19-Sep,0.2074,95.7,236,109.1,283,67.6,140,-0.034,226,0.4046,223,98.2,251,101.5,177,0.5358,182
267,Texas Arlington ,Slnd,13-15,0.2054,92.8,277,105.9,236,69.5,73,0.001,135,0.3808,239,99.2,229,103.5,242,0.7588,23
268,Texas St. ,Slnd,14-14,0.2039,98.5,207,112.5,312,63.2,300,0.02,100,0.3224,269,96.8,289,103.2,235,0.5133,193
269,NC Asheville ,BSth,17-Nov,0.2014,97.7,216,111.8,309,70,57,-0.018,185,0.3898,230,98.8,241,102.7,220,0.8139,13
270,Mississippi Valley St. ,SWAC,13-14,0.1913,94.1,256,108.3,269,66.7,194,-0.073,297,0.1554,325,90.9,325,105.3,290,0.6209,104
271,Stephen F. Austin ,Slnd,15-Dec,0.1891,94,259,108.4,271,60.6,321,-0.057,269,0.2512,302,94.7,312,104.1,261,0.2074,325
272,William & Mary ,CAA,21-Aug,0.1875,92.9,275,107.2,249,67.8,135,-0.044,249,0.4237,210,99.1,231,101.8,189,0.3684,281
273,Siena ,MAAC,24-Jun,0.1846,90.6,297,104.8,225,67,174,0.003,134,0.4483,195,101.2,180,103.1,233,0.5721,148
274,Navy ,Pat,19-Sep,0.1822,92.7,278,107.3,255,74.3,5,-0.037,237,0.2894,285,95.6,304,103.4,239,0.2564,316
275,Sacramento St. ,BSky,16-Dec,0.1818,93,273,107.7,260,71.3,37,0.074,16,0.3179,273,97.2,277,103.9,254,0.4698,229
276,Lipscomb ,ASun,16-12,0.1816,93.8,263,108.7,278,64.8,260,0.08,14,0.1884,315,94.9,311,107.8,330,0.1693,329
277,Coastal Carolina ,BSth,19-Oct,0.1764,96.1,233,111.7,306,68.6,111,-0.037,239,0.3142,274,97.4,274,104.2,266,0.542,174
278,Long Island ,NEC,14-15,0.1762,91.5,288,106.3,242,69.7,69,0.07,22,0.264,298,97.3,275,106.4,321,0.5044,204
279,Liberty ,BSth,13-15,0.176,94.1,257,109.4,286,70.1,54,0.088,12,0.3264,268,97.6,267,103.9,255,0.6434,89
280,Dartmouth ,Ivy,17-Oct,0.1748,91.3,290,106.2,240,61.8,313,0.072,18,0.3865,236,98.4,248,102.5,213,0.4075,267
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
281,Elon ,SC,23-Aug,0.1727,89.3,305,104.1,210,64,288,0.012,110,0.4566,191,100.9,185,102.5,214,0.6791,65
282,MD Baltimore County ,AE,18-Nov,0.1723,92.2,281,107.5,257,64.9,257,0.055,36,0.3327,264,96.8,288,102.9,223,0.2237,324
283,Norfolk St. ,MEAC,13-14,0.1722,88.3,310,103,190,64.8,258,-0.034,227,0.1574,324,91.9,323,106.3,318,0.4432,251
284,Stetson ,ASun,17-Oct,0.1643,93.2,270,109.2,285,67.5,151,0.005,127,0.3398,261,99,236,104.8,280,0.8592,6
285,Lafayette ,Pat,19-Sep,0.1635,91.3,291,107,246,72.6,17,0.009,115,0.4538,192,99.3,224,101,156,0.5887,132
286,Towson ,CAA,24-May,0.1608,93.4,268,109.7,290,65.5,238,-0.072,296,0.4173,214,98.4,247,101.3,171,0.3413,292
287,Alabama A&M,SWAC,15-14,0.1574,88.4,309,104.2,211,73,13,-0.031,217,0.1276,328,90.1,327,106.5,324,0.527,183
288,Western Carolina ,SC,22-Aug,0.1543,89.1,306,105.2,233,72,25,-0.012,170,0.4576,190,100.5,195,102,199,0.6924,56
289,Jacksonville ,ASun,16-13,0.154,90.9,295,107.4,256,71.9,27,0.119,4,0.2173,311,96,300,107.3,329,0.301,304
290,IUPU Fort Wayne ,ind,22-Jul,0.1514,91.9,284,108.7,280,66.9,176,-0.051,264,0.4459,197,101.3,178,103.2,237,0.4459,248
291,Texas Pan American ,ind,16-Dec,0.1507,93.9,262,111.1,304,68.9,96,0.009,116,0.4116,219,99.7,216,102.9,222,0.4116,265
292,Charleston Southern ,BSth,13-17,0.1478,87.8,312,104.2,212,62.2,310,0.097,8,0.3084,276,97.6,263,104.7,278,0.5124,195
293,Jacksonville St. ,OVC,22-Jul,0.147,95.3,240,113.1,316,67.8,133,-0.086,311,0.365,246,99.5,221,104.4,272,0.4586,238
294,Quinnipiac ,NEC,17-Oct,0.1424,96.9,225,115.4,326,71.4,36,-0.019,188,0.2515,301,96.3,295,105.9,311,0.4036,268
295,Cal Poly ,BW,22-May,0.1382,95.1,244,113.6,320,72.1,24,-0.004,149,0.5014,172,100.9,188,100.8,152,0.4237,260
296,Radford ,BSth,16-Dec,0.1374,94.1,258,112.5,313,66.5,202,0.027,85,0.2664,296,96.2,297,105.1,285,0.3992,271
297,Loyola MD ,MAAC,22-Jun,0.1325,88.7,307,106.5,243,70.9,44,0.027,84,0.3744,243,100.2,206,104.8,279,0.3512,289
298,Louisiana Monroe ,Slnd,19-Aug,0.1279,91.5,285,110.4,297,66.4,206,-0.079,305,0.3514,255,98.7,243,104.1,260,0.5076,200
299,Morehead St. ,OVC,16-Nov,0.1243,91.2,292,110.3,293,66.3,208,0.026,87,0.3711,244,100.3,198,105.1,283,0.5155,192
300,Morgan St. ,MEAC,14-15,0.1236,88.6,308,107.3,253,68.8,98,0.036,66,0.1651,321,92.1,322,106,314,0.5036,205
301,Northern Colorado ,ind,21-Aug,0.1146,91.5,286,111.7,307,68.7,104,-0.028,210,0.5642,137,102.6,145,100.3,135,0.5642,153
302,Tennessee Martin ,OVC,21-Jun,0.1142,92.9,276,113.4,319,68.2,117,-0.013,173,0.4302,204,101.3,177,103.8,253,0.6358,97
303,Mount St. Mary's ,NEC,20-Jul,0.1131,92.1,283,112.6,314,65.9,223,-0.06,274,0.2404,307,96.1,299,106.2,317,0.3504,290
304,The Citadel ,SC,16-Dec,0.11,87.4,316,107.2,250,69.4,79,0.004,129,0.3033,279,96.5,293,103.8,252,0.1768,328
305,Florida A&M ,MEAC,14-15,0.1079,92.6,279,113.8,321,69,92,0.093,9,0.2233,309,93,313,103.7,250,0.7299,33
306,Youngstown St. ,Horz,23-May,0.1056,89.6,302,110.4,298,65.7,231,-0.007,154,0.4735,180,101.5,173,102.4,209,0.3612,286
307,Jackson St. ,SWAC,14-16,0.1052,85.6,320,105.5,235,70.9,43,0.049,46,0.1728,319,92.2,320,105.7,303,0.5409,176
308,James Madison ,CAA,22-Jun,0.1051,89.5,303,110.3,294,65.9,222,-0.01,161,0.4393,200,99.7,215,101.9,191,0.3981,272
309,Grambling ,SWAC,14-10,0.1049,89.8,301,110.6,302,69.9,62,0.114,6,0.1265,329,89.4,329,105.8,306,0.7446,27
310,St. Bonaventure ,A10,26-Feb,0.1039,91,294,112.3,311,69.6,70,-0.017,179,0.5571,143,102.3,154,100.3,137,0.4779,222
311,Southern ,SWAC,14-Dec,0.1028,86.8,317,107.2,251,68.9,97,-0.008,155,0.13,327,89.7,328,105.8,307,0.5014,207
312,Sacred Heart ,NEC,23-Apr,0.0977,87.5,314,108.7,279,70.2,51,-0.079,304,0.2881,287,98.1,253,106.2,316,0.5567,159
313,Alabama St. ,SWAC,13-14,0.0959,83.9,323,104.5,220,62.9,303,0.074,15,0.1645,322,91.9,324,105.8,308,0.5908,130
314,Virginia Military Inst ,BSth,18-Sep,0.0951,88.2,311,109.9,291,67.3,161,-0.012,168,0.227,308,95.3,309,106,313,0.2647,315
315,Nicholls St. ,Slnd,21-Jun,0.0942,91.5,287,114.1,323,72.3,22,-0.113,324,0.3288,265,97.4,272,103.7,251,0.4243,259
316,Centenary ,MCon,24-Mar,0.0903,90.3,298,113.1,317,67.2,167,-0.039,243,0.4781,176,102.9,135,103.7,249,0.608,116
317,Idaho St. ,BSky,18-Sep,0.088,85.9,319,107.9,262,67.4,153,-0.026,203,0.2917,284,97.6,262,105.5,298,0.341,293
318,Hartford ,AE,20-Aug,0.0845,87.4,315,110.3,292,65.8,227,0.007,119,0.3529,253,97.1,279,102.4,208,0.2914,307
319,Bethune Cookman ,MEAC,13-17,0.0826,87.7,313,111,303,67.9,124,0.062,29,0.1495,326,90.6,326,105.3,294,0.3061,302
320,Texas Southern ,SWAC,14-Nov,0.0802,90.2,299,114.4,324,68.1,119,0.038,59,0.1198,330,88.8,330,105.6,301,0.4636,233
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
321,North Carolina A&T ,MEAC,23-Jun,0.0692,79.9,326,103,192,74.2,6,-0.033,222,0.2527,300,95.9,301,105.4,296,0.6883,60
322,Campbell ,ASun,25-Feb,0.0568,84.9,322,111.7,308,68.8,101,-0.089,312,0.3276,266,98.8,242,105.2,287,0.7083,42
323,Arkansas Pine Bluff ,SWAC,20-Jun,0.0452,80.7,325,108.6,276,68,121,-0.045,257,0.2088,313,92.9,314,104.4,271,0.8677,4
324,Army ,Pat,24-Mar,0.0445,85.2,321,114.9,325,62.8,304,-0.083,308,0.3488,256,96.9,286,102.3,206,0.2706,312
325,Longwood ,ind,30-Jan,0.0434,81.8,324,110.6,300,72.5,18,-0.029,212,0.327,267,98.9,237,105.4,295,0.327,298
326,Howard ,MEAC,23-May,0.0396,86.1,318,117.5,329,69.2,86,-0.035,232,0.1807,316,92.2,321,105.2,288,0.4328,257
327,Prairie View A&M ,SWAC,23-May,0.0259,77.5,327,110.4,296,69.1,90,-0.02,190,0.1984,314,92.5,318,104.4,274,0.7282,34
328,Alcorn St. ,SWAC,22-Jul,0.0249,75.3,328,107.6,259,69.8,63,0.02,99,0.1626,323,92.4,319,106.5,323,0.4925,213
329,Savannah St. ,ind,0-28,0.0111,75.1,329,116.5,328,72.3,21,-0.02,189,0.2476,304,95.3,308,105,281,0.2476,319
330,Maryland Eastern Shore ,MEAC,26-Feb,0.0073,73.9,330,119.3,330,72.5,20,0.004,131,0.1803,317,92.8,315,105.9,310,0.3797,279
